ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
2,Mexico,"DEN 1,2,3,4",2020,Out,53,20.15351586,0.876996659,0.065,24313,79,53,92.26,130759,1058,120639
5,Dominican Republic,"DEN 1,2",2018,Out,53,7.83055199,7.124518614,0.064,122,1,52,14.32,10883,111,1558
5,Dominican Republic,  ,2021,Out,53,1.841964762,5.152162306,0.694,69,26,52,34.2,10954,193,3746
1,Canada,  ,2014,Out,53,,,,0,0,53,,0,0,0
5,Puerto Rico,"DEN 1,2,4",2014,Out,53,5.968468468,0.022522523,0,530,0,53,241.04,3684,2,8880
6,Guyana,  ,2015,Out,53,100,0,0,388,0,52,48.02,808,0,388
6,Saint Barthelemy,  ,2015,Out,53,6.775700935,0,0,29,0,52,"4,755.56",9,0,428
6,Saint Martin,DEN 1,2018,Out,53,8.653846154,0,0,9,0,52,325,32,0,104
5,Puerto Rico,  ,2020,Out,53,93.10722101,3.282275711,0,851,0,53,24.98,3659,30,914
2,El Salvador,DEN 2,2019,Out,53,2.795777212,0.385875501,0.051,768,14,52,428.42,6412,106,27470
6,Anguilla,  ,2022,Out,53,,,,,,-,,18,,
6,French Guiana,  ,2022,Out,53,,,,,,-,,306,,
2,Central America Ithsmus and Mexico,  ,2022,In,53,12.17823402,0.407347761,0.036,28282,83,-,127.79,181730,946,232234
6,Non-Latin Caribbean,  ,2019,In,53,11.66566446,0.090198437,0.15,1940,25,-,83.76,19855,15,16630
6,Non-Latin Caribbean,  ,2022,In,53,10.75359865,0.152413209,0,635,0,-,28.9,20433,9,5905
5,Latin Caribbean,  ,2015,In,53,8.482966126,8.997379404,0.519,1748,107,-,80.55,25581,1854,20606
1,North America,  ,2022,In,53,100,1.557093426,0,1156,0,-,0.35,332915,18,1156
4,Southern Cone,  ,2016,In,53,45.68944277,0.042570175,0.031,1082933,733,-,841.35,281716,1009,2370204
6,Non-Latin Caribbean,  ,2016,In,53,19.44028454,1.497566455,0.019,2077,2,-,54.95,19443,160,10684
2,Central America Ithsmus and Mexico,  ,2019,In,53,9.307173834,3.575205893,0.104,63975,717,-,383.23,179361,24575,687373
3,Andean Subregion,  ,2014,In,53,31.01530671,1.33386446,0.052,78639,131,-,184.56,137381,3382,253549
5,Latin Caribbean,  ,2018,In,53,61.04177971,3.011394466,0.027,2250,1,-,14.16,26031,111,3686
2,Central America Ithsmus and Mexico,  ,2016,In,53,9.604588806,0.482639242,0.022,28298,64,-,168.36,175002,1422,294630
7,The Americas,  ,2022,In,53,48.7092686,0.163928364,0.046,1369804,1290,-,283.21,992973,4610,2812204
5,Cuba,"DEN 3,4",2015,Out,53,100,0,0,1691,0,52,15.03,11249,0,1691
6,Aruba,  ,2015,Out,53,61.49253731,0,0,206,0,52,299.11,112,0,335
5,Cuba,DEN 2,2018,Out,53,100,0,0,2128,0,52,18.52,11489,0,2128
6,Trinidad and Tobago,  ,2020,Out,53,3.389830508,0,0,2,0,53,4.3,1373,0,59
6,Curaçao,  ,2017,Out,53,,,,0,0,52,0,150,0,0
2,Costa Rica,"DEN 1,2",2017,Out,53,1.906131991,0.035964755,0,106,0,52,113.35,4906,2,5561
6,Turks and Caicos Islands,  ,2017,Out,53,100,0,0,210,0,52,396.23,53,0,210
6,Montserrat,  ,2024,Out,53,100,0,0,1,0,11,20,5,0,1
2,Guatemala,"DEN 1,2,3,4",2022,Out,53,26.39467111,0.368740335,0.19,2219,16,52,46.07,18250,31,8407
5,Puerto Rico,"DEN 1,2,3",2023,Out,53,75.84541063,4.99194847,0,942,0,52,43.92,2828,62,1242
3,Venezuela,"DEN 1,2,3,4",2023,Out,53,30.04782699,0.353503847,0.166,1445,8,21,16.75,28705,17,4809
6,Dominica,  ,2016,Out,53,1.709401709,0,0,6,0,52,474.32,74,0,351
2,El Salvador,DEN 2,2016,Out,53,1.410854477,2.34383889,0.011,124,1,52,143,6146,206,8789
6,Saint Vincent and the Grenadines,  ,2016,Out,53,7.865168539,0,0,7,0,52,87.25,102,0,89
6,Virgin Islands (UK),  ,2019,Out,53,100,0,0,78,0,44,278.57,28,0,78
6,French Guiana,"DEN 1,2",2019,Out,53,100,0,0,250,0,50,86.21,290,0,250
1,Canada,  ,2017,Out,53,,,,0,0,52,,0,0,0
6,Jamaica,  ,2014,Out,53,8.181818182,0,0,72,0,53,31.44,2799,0,880
3,Bolivia,"DEN 1,2",2021,Out,53,26.84698782,0.234715547,0.022,2402,2,52,75.61,11833,21,8947
2,Panama,DEN 1,2020,Out,53,45.84900928,0.275896664,0.15,1828,6,53,95.77,4163,11,3987
4,Brazil,"DEN 1,2,3,4",2016,Out,53,46.79826272,0.041927834,0.032,1039147,707,52,"1,059.55",209568,931,2220482
2,Belize,  ,2024,Out,53,23.66412214,0.572519084,0,124,0,17,127.49,411,3,524
6,Saint Vincent and the Grenadines,  ,2019,Out,53,0,0,0,0,0,44,10,110,0,11
2,Panama,"DEN 1,2,3",2017,Out,53,42.21640815,0.149504765,0.019,4518,2,52,261.09,4099,16,10702
4,Paraguay,"DEN 1,3,4",2016,Out,53,3.64024781,0.068361461,0.023,2556,16,52,"1,044.09",6725,48,70215
6,Anguilla,  ,2016,Out,53,4,0,0,2,0,52,294.12,17,0,50
4,Paraguay,"DEN 1,2,4",2019,Out,53,9.82981966,,0.076,1161,9,52,171.25,6897,,11811
2,Mexico,"DEN 1,2,3",2017,Out,53,15.72758724,0.417162627,0.038,14138,34,52,69.6,129163,375,89893
6,Cayman Islands,"DEN 1,3",2014,Out,53,3.225806452,0,0,4,0,53,225.45,55,0,124
6,"Bonaire, Saint Eustatius and Saba",  ,2024,Out,53,64.73429952,0,0,134,0,12,796.15,26,0,207
6,Haiti,  ,2017,Out,53,,,,,,-,,10981,,
6,Haiti,  ,2014,Out,53,,,,,,-,,10461,,
6,Guadeloupe,DEN 2,2024,Out,53,0,0,0,0,0,16,835,400,0,3340
2,Costa Rica,"DEN 1,2,3,4",2023,Out,53,8.84857581,0.003262749,0,2712,0,52,582.46,5262,1,30649
1,Canada,  ,2023,Out,53,,,,0,0,52,,0,0,0
6,Saint Barthelemy,  ,2023,Out,53,21.16689281,0,0,156,0,52,"10,528.57",7,0,737
6,Guyana,  ,2023,Out,53,29.12772024,0,0,8071,0,52,"3,507.47",790,0,27709
6,Sint Maarten,DEN 2,2016,Out,53,9.090909091,0,0,1,0,8,26.83,41,0,11
3,Bolivia,"DEN 1,2,3",2018,Out,53,17.74384626,0.789785442,0.079,1348,6,52,67.73,11216,60,7597
2,Mexico,"DEN 1,2,3,4",2014,Out,53,25.69171542,6.937563529,0.031,32100,39,53,100.92,123799,8668,124943
2,Panama,"DEN 1,2,3",2014,Out,53,57.005619,0.36251586,0.163,3145,9,53,140.52,3926,20,5517
2,Honduras,  ,2015,Out,53,0,2.368738011,0.011,0,5,52,532.22,8424,1062,44834
1,United States of America,DEN 1,2015,Out,53,100,0.634920635,0,945,0,52,0.29,325128,6,945
2,Costa Rica,"DEN 1,2",2020,Out,53,4.23627685,0.208830549,0,426,0,53,203.03,4953,21,10056
6,Curaçao,  ,2020,Out,53,,,,0,0,53,0,162,0,0
3,Peru,"DEN 1,2,3",2023,Out,53,84.19010528,0.38471777,0.161,230872,441,52,822.05,33359,1055,274227
6,Bahamas,  ,2018,Out,53,0,0,0,0,0,52,2.51,399,0,10
3,Bolivia,"DEN 1,4",2015,Out,53,8.974500904,0.317354884,0.004,2432,1,52,245.8,11025,86,27099
